"These are the fields that Telarus, our main distributor, uses to report by vendor.  We will need to create templates to match our fields to theirs.  We will display different field ""label names"" on these fields for our own understanding.",,,,,,,,
The fields in 7-10 are common fields that all templates will use.  ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Template Map Name,Origin,CompanyName,templateId,commissionType,fieldId,Telarus CommonFields,New Commissable Field Label,
ALL,Telarus,ALL,ALL,Residual,50000,Customer Name,Account Legal Name,
ALL,Telarus,ALL,ALL,Residual,50001,Usage,Actual Usage - Gross,
ALL,Telarus,ALL,ALL,Residual,50002,Total Commission,Actual Commission,
ALL,Telarus,ALL,ALL,Residual,50003,Vendor Account,Vendor Name,
,,,,,,,,
Template Map Name,Origin,CompanyName,templateId,commissionType,fieldId,Telarus fieldName,Commissable Field Label,
Telarus-8x8,Telarus,8x8,1937,Residual,292,2xMRC,2xMRC,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,292,2xMRC,2xMRC,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,292,2xMRC,2xMRC,
Telarus-Dobson Fiber,Telarus,Dobson Fiber,2431,Residual,411,Account First Invoice Date,Account First Invoice Date,
Telarus-Fusion Connect,Telarus,Fusion Connect,2536,Residual,411,Account First Invoice Date,Account First Invoice Date,
Telarus-365 Data Centers,Telarus,365 Data Centers,2449,Residual,610,Customer Account,Vendor - Account ID,
Telarus-Fusion Connect,Telarus,Fusion Connect,2536,Residual,610,Customer Account,Vendor - Account ID,
Telarus-GTT,Telarus,GTT,2448,Residual,203,Nav Id,Vendor - Account ID,
Telarus-GTT CAD,Telarus,GTT CAD,2447,Residual,203,Nav Id,Vendor - Account ID,
Telarus-Sangoma,Telarus,Sangoma,2505,Residual,610,Customer Account,Vendor - Account ID,
Telarus-Spectrum,Telarus,Spectrum,2381,Residual,446,Former Account Number,Vendor - Account ID,
Telarus-Spectrum,Telarus,Spectrum,2381,Residual,445,National Account Number,Vendor - Account ID,
Telarus-Spectrum Business CAD,Telarus,Spectrum Business CAD,2383,Residual,446,Former Account Number,Vendor - Account ID,
Telarus-Spectrum Business CAD,Telarus,Spectrum Business CAD,2383,Residual,445,National Account Number,Vendor - Account ID,
Telarus-Verizon Direct,Telarus,Verizon Direct,2216,Residual,263,Nasp Id,Vendor - Account ID,
Telarus-Vodafone,Telarus,Vodafone,2389,Residual,446,Former Account Number,Vendor - Account ID,
Telarus-Vodafone,Telarus,Vodafone,2389,Residual,445,National Account Number,Vendor - Account ID,
Telarus-InflowCX,Telarus,InflowCX,2380,Residual,2,Account,Account Legal Name,
Telarus-Spectrum,Telarus,Spectrum,2381,Residual,183,Company Name,Account Legal Name,
Telarus-Spectrum Business CAD,Telarus,Spectrum Business CAD,2383,Residual,183,Company Name,Account Legal Name,
Telarus-Zayo,Telarus,Zayo,2440,Residual,183,Company Name,Account Legal Name,
Telarus-Zayo CAD,Telarus,Zayo CAD,2401,Residual,183,Company Name,Account Legal Name,
Telarus-Zayo UK,Telarus,Zayo UK,2407,Residual,183,Company Name,Account Legal Name,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,244,Account POTs Count,Account POTs Count,
Telarus-Managed Solution,Telarus,Managed Solution,2225,Residual,222,Account Reference Number,Account Reference Number,
Telarus-Sangoma,Telarus,Sangoma,2505,Residual,222,Account Reference Number,Account Reference Number,
Telarus-TouchTone,Telarus,TouchTone,2133,Residual,222,Account Reference Number,Account Reference Number,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,247,Account Start Date,Account Start Date,
Telarus-Dobson Fiber,Telarus,Dobson Fiber,2431,Residual,247,Account Start Date,Account Start Date,
Telarus-Viasat,Telarus,Viasat,2546,Residual,247,Account Start Date,Account Start Date,
Telarus-Command Link,Telarus,Command Link,1688,Residual,289,AccountCode,AccountCode,
Telarus-Flexential,Telarus,Flexential,2206,Residual,540,Accrual Date,Accrual Date,
Telarus-Verizon Direct,Telarus,Verizon Direct,2216,Residual,266,Acq/Resi %,Acq/Resi %,
Telarus-Zayo,Telarus,Zayo,2440,Residual,537,Action,Action,
Telarus-Zayo CAD,Telarus,Zayo CAD,2401,Residual,537,Action,Action,
Telarus-Zayo UK,Telarus,Zayo UK,2407,Residual,537,Action,Action,
Telarus-0.465972222222222,Telarus,11:11,1700,Residual,36,Activation Date,Activation Date,
Telarus-0.465972222222222,Telarus,11:11,1962,Residual,36,Activation Date,Activation Date,
Telarus-APx Net,Telarus,APx Net,2555,Residual,36,Activation Date,Activation Date,
Telarus-Avaya,Telarus,Avaya,2560,Residual,36,Activation Date,Activation Date,
Telarus-Avaya ANZ,Telarus,Avaya ANZ,2558,Residual,36,Activation Date,Activation Date,
Telarus-Avaya CAD,Telarus,Avaya CAD,2559,Residual,36,Activation Date,Activation Date,
Telarus-Avaya UK,Telarus,Avaya UK,2456,Residual,36,Activation Date,Activation Date,
Telarus-Bigleaf,Telarus,Bigleaf,2397,Residual,36,Activation Date,Activation Date,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,36,Activation Date,Activation Date,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,36,Activation Date,Activation Date,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,36,Activation Date,Activation Date,
Telarus-Epic io,Telarus,Epic io,2384,Residual,36,Activation Date,Activation Date,
Telarus-G12 Communications,Telarus,G12 Communications,2378,Residual,36,Activation Date,Activation Date,
Telarus-GWI (Great Works Internet),Telarus,GWI (Great Works Internet),1801,Residual,36,Activation Date,Activation Date,
Telarus-Spectrotel,Telarus,Spectrotel,1863,Residual,36,Activation Date,Activation Date,
Telarus-Verizon Direct,Telarus,Verizon Direct,2216,Residual,36,Activation Date,Activation Date,
Telarus-WiLine,Telarus,WiLine,1956,Residual,36,Activation Date,Activation Date,
Telarus-Zultys,Telarus,Zultys,2494,Residual,36,Activation Date,Activation Date,
Telarus-Arelion UK,Telarus,Arelion UK,2028,Residual,350,Commission Converted,Actual Commission,
Telarus-Ntegrated,Telarus,Ntegrated,2568,NULL,4,Commission,Actual Commission,
Telarus-8x8,Telarus,8x8,1937,Residual,294,Activation Commission,Actual Commission,
Telarus-8x8,Telarus,8x8,1937,Residual,293,Equipment Commission,Actual Commission,
Telarus-8x8,Telarus,8x8,1937,Residual,290,Residual Commission,Actual Commission,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,294,Activation Commission,Actual Commission,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,293,Equipment Commission,Actual Commission,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,290,Residual Commission,Actual Commission,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,294,Activation Commission,Actual Commission,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,293,Equipment Commission,Actual Commission,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,290,Residual Commission,Actual Commission,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,126,EX Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,397,Bandwidth Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,397,Bandwidth Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,396,Bandwidth MRC,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,396,Bandwidth MRC,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,472,Data Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,472,Data Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,293,Equipment Commission,Actual Commission,
